Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return
2020-11-18 00:00:00-05:00;115,86;117,04;115,26;115,29;76322100;0,00;0,00;-1,14%
2020-11-19 00:00:00-05:00;114,86;116,30;114,10;115,89;74113000;0,00;0,00;0,52%
2020-11-20 00:00:00-05:00;115,89;116,01;114,57;114,62;73604300;0,00;0,00;-1,10%
2020-11-23 00:00:00-05:00;114,46;114,89;111,11;111,21;127959300;0,00;0,00;-2,97%
2020-11-24 00:00:00-05:00;111,27;113,16;109,98;112,50;113874200;0,00;0,00;1,16%
2020-11-25 00:00:00-05:00;112,87;114,04;112,50;113,34;76499200;0,00;0,00;0,75%
2020-11-27 00:00:00-05:00;113,86;114,76;113,52;113,88;46691300;0,00;0,00;0,48%
2020-11-30 00:00:00-05:00;114,25;118,16;114,10;116,29;169410200;0,00;0,00;2,11%
2020-12-01 00:00:00-05:00;118,20;120,60;117,22;119,87;127728200;0,00;0,00;3,08%
2020-12-02 00:00:00-05:00;119,19;120,51;118,08;120,22;89004200;0,00;0,00;0,29%
2020-12-03 00:00:00-05:00;120,65;120,91;119,37;120,09;78967600;0,00;0,00;-0,11%
2020-12-04 00:00:00-05:00;119,75;120,01;118,70;119,41;78260400;0,00;0,00;-0,56%
2020-12-07 00:00:00-05:00;119,47;121,68;119,41;120,88;86712000;0,00;0,00;1,23%
2020-12-08 00:00:00-05:00;121,48;122,08;120,23;121,49;82225500;0,00;0,00;0,51%
2020-12-09 00:00:00-05:00;121,64;123,03;118,19;118,95;115089200;0,00;0,00;-2,09%
2020-12-10 00:00:00-05:00;117,70;120,99;117,36;120,38;81312200;0,00;0,00;1,20%
2020-12-11 00:00:00-05:00;119,59;119,91;117,75;119,57;86939800;0,00;0,00;-0,67%
2020-12-14 00:00:00-05:00;119,75;120,49;118,72;118,95;79184500;0,00;0,00;-0,51%
2020-12-15 00:00:00-05:00;121,45;124,93;121,25;124,91;157243700;0,00;0,00;5,01%
2020-12-16 00:00:00-05:00;124,45;125,39;123,62;124,84;98208600;0,00;0,00;-0,05%
2020-12-17 00:00:00-05:00;125,91;126,57;125,07;125,71;94359800;0,00;0,00;0,70%
2020-12-18 00:00:00-05:00;125,97;126,10;123,19;123,72;192541500;0,00;0,00;-1,59%
2020-12-21 00:00:00-05:00;122,12;125,33;120,58;125,25;121251600;0,00;0,00;1,24%
2020-12-22 00:00:00-05:00;128,55;131,29;126,64;128,82;168904800;0,00;0,00;2,85%
2020-12-23 00:00:00-05:00;129,09;129,36;127,74;127,92;88223700;0,00;0,00;-0,70%
2020-12-24 00:00:00-05:00;128,27;130,36;128,06;128,91;54930100;0,00;0,00;0,77%
2020-12-28 00:00:00-05:00;130,88;134,15;130,41;133,52;124486200;0,00;0,00;3,58%
2020-12-29 00:00:00-05:00;134,84;135,57;131,22;131,74;121047300;0,00;0,00;-1,33%
2020-12-30 00:00:00-05:00;132,43;132,83;130,30;130,62;96452100;0,00;0,00;-0,85%
2020-12-31 00:00:00-05:00;130,97;131,61;128,66;129,61;99116600;0,00;0,00;-0,77%
2021-01-04 00:00:00-05:00;130,42;130,51;123,82;126,41;143301900;0,00;0,00;-2,47%
2021-01-05 00:00:00-05:00;125,90;128,68;125,45;127,97;97664900;0,00;0,00;1,24%
2021-01-06 00:00:00-05:00;124,75;128,01;123,45;123,66;155088000;0,00;0,00;-3,37%
2021-01-07 00:00:00-05:00;125,38;128,57;124,89;127,88;109578200;0,00;0,00;3,41%
2021-01-08 00:00:00-05:00;129,36;129,55;127,21;128,98;105158200;0,00;0,00;0,86%
2021-01-11 00:00:00-05:00;126,19;127,15;125,52;125,99;100384500;0,00;0,00;-2,32%
